epoch,train_error,val_error
0,0.244355,0.242880
1,0.243959,0.242454
2,0.243525,0.242025
3,0.243088,0.241596
4,0.242651,0.241168
5,0.242215,0.240742
6,0.241781,0.240316
7,0.241347,0.239891
8,0.240915,0.239468
9,0.240483,0.239045
10,0.240053,0.238624
11,0.239624,0.238203
12,0.239195,0.237784
13,0.238768,0.237365
14,0.238342,0.236948
15,0.237917,0.236531
16,0.237492,0.236116
17,0.237069,0.235701
18,0.236647,0.235288
19,0.236226,0.234875
20,0.235806,0.234464
21,0.235387,0.234053
22,0.234969,0.233644
23,0.234552,0.233235
24,0.234137,0.232828
25,0.233722,0.232421
26,0.233308,0.232016
27,0.232895,0.231612
28,0.232483,0.231208
29,0.232073,0.230806
30,0.231663,0.230404
31,0.231254,0.230004
32,0.230847,0.229605
33,0.230440,0.229206
34,0.230034,0.228809
35,0.229630,0.228412
36,0.229226,0.228017
37,0.228824,0.227622
38,0.228422,0.227229
39,0.228022,0.226837
40,0.227622,0.226445
41,0.227224,0.226055
42,0.226826,0.225665
43,0.226430,0.225277
44,0.226035,0.224889
45,0.225640,0.224503
46,0.225247,0.224117
47,0.224854,0.223733
48,0.224463,0.223349
49,0.224073,0.222967
50,0.223683,0.222585
51,0.223295,0.222204
52,0.222908,0.221825
53,0.222521,0.221446
54,0.222136,0.221069
55,0.221752,0.220692
56,0.221368,0.220316
57,0.220986,0.219941
58,0.220605,0.219568
59,0.220224,0.219195
60,0.219845,0.218823
61,0.219467,0.218452
62,0.219089,0.218082
63,0.218713,0.217713
64,0.218338,0.217345
65,0.217963,0.216978
66,0.217590,0.216612
67,0.217217,0.216247
68,0.216846,0.215883
69,0.216475,0.215520
70,0.216106,0.215157
71,0.215737,0.214796
72,0.215370,0.214436
73,0.215003,0.214076
74,0.214638,0.213718
75,0.214273,0.213360
76,0.213910,0.213004
77,0.213547,0.212648
78,0.213185,0.212294
79,0.212824,0.211940
80,0.212465,0.211587
81,0.212106,0.211235
82,0.211748,0.210884
83,0.211391,0.210534
84,0.211035,0.210185
85,0.210680,0.209837
86,0.210326,0.209490
87,0.209973,0.209144
88,0.209621,0.208798
89,0.209270,0.208454
90,0.208919,0.208110
91,0.208570,0.207768
92,0.208222,0.207426
93,0.207874,0.207085
94,0.207528,0.206745
95,0.207182,0.206406
96,0.206838,0.206068
97,0.206494,0.205731
98,0.206151,0.205395
99,0.205810,0.205060
100,0.205469,0.204725
101,0.205129,0.204392
102,0.204790,0.204059
103,0.204452,0.203728
104,0.204114,0.203397
105,0.203778,0.203067
106,0.203443,0.202738
107,0.203108,0.202410
108,0.202775,0.202082
109,0.202442,0.201756
110,0.202110,0.201430
111,0.201780,0.201106
112,0.201450,0.200782
113,0.201121,0.200459
114,0.200793,0.200137
115,0.200465,0.199816
116,0.200139,0.199496
117,0.199814,0.199177
118,0.199489,0.198858
