experiment,mean_error,std_dev_error
1,0.037789,0.006540
2,0.008705,0.002357
3,0.002612,0.000212
4,0.016655,0.013885
5,0.006578,0.027415
6,0.024158,0.013305
7,0.029372,0.007862
8,0.010590,0.002153
9,0.019299,0.006122
10,0.007403,0.001847
11,0.030522,0.017537
12,0.031995,0.002103
13,0.029934,0.002541
14,0.008028,0.010527
15,0.007773,0.017874
16,0.016406,0.028998
17,0.007592,0.011997
18,0.028667,0.001192
19,0.031160,0.012239
20,0.020301,0.000472
21,0.021042,0.014021
22,0.011689,0.019698
23,0.032407,0.002041
24,0.022434,0.001226
25,0.004815,0.006204
26,0.006880,0.015099
27,0.016513,0.001808
28,0.005217,0.012807
29,0.023890,0.002897
30,0.013464,0.049760
31,0.004749,0.007290
32,0.006308,0.007467
33,0.013540,0.011192
34,0.005445,0.010101
35,0.017983,0.006113
36,0.017944,0.013720
37,0.005279,0.023521
38,0.020372,0.008098
39,0.024907,0.001770
40,0.016904,0.017998
41,0.021383,0.006239
42,0.007213,0.003232
43,0.033330,0.009435
44,0.011998,0.001584
45,0.006002,0.008014
46,0.021646,0.001947
47,0.018187,0.034673
48,0.017277,0.026272
49,0.003689,0.017478
50,0.018925,0.024399
51,0.007003,0.036118
52,0.022682,0.005548
53,0.002478,0.014658
54,0.015345,0.001952
55,0.015700,0.033044
56,0.024846,0.014253
57,0.012806,0.004239
58,0.025346,0.008959
59,0.011920,0.027343
60,0.015206,0.003381
61,0.019549,0.013243
62,0.009818,0.016866
63,0.009171,0.014117
64,0.024182,0.019242
65,0.017786,0.007239
66,0.001746,0.009590
67,0.002864,0.004892
68,0.008362,0.026908
69,0.017431,0.025680
70,0.018158,0.008719
71,0.010538,0.037068
72,0.012037,0.012757
73,0.018436,0.003333
74,0.027873,0.005116
75,0.041444,0.006150
76,0.010469,0.021677
77,0.034677,0.014588
78,0.021407,0.009720
79,0.003896,0.024419
80,0.007357,0.010146
81,0.016431,0.011835
82,0.027168,0.009697
83,0.002618,0.003164
84,0.014362,0.008587
85,0.013658,0.003778
86,0.008079,0.012033
87,0.054187,0.001258
88,0.008344,0.001144
89,0.012971,0.011624
90,0.051641,0.003399
91,0.005245,0.003234
92,0.005305,0.005656
93,0.025400,0.001886
94,0.010131,0.004904
95,0.026850,0.008685
96,0.009481,0.016109
97,0.014860,0.024619
98,0.041438,0.006174
99,0.031040,0.006997
100,0.004352,0.004920
